,Result,Time(s)
p1,9256,6
p2,7942,4
p3,9942,4
p4,11942,4
p5,9169,4
p6,7855,5
p7,9855,4
p8,11855,4
p9,9040,4
p10,7726,4
p11,9726,4
p12,11726,4
p13,12032,6
p14,9180,7
p15,13180,6
p16,17180,6
p17,12032,6
p18,9180,6
p19,13180,5
p20,17180,6
p21,12032,5
p22,9180,5
p23,13180,6
p24,17180,6
p25,19067,18
p26,16005,19
p27,21405,18
p28,26805,19
p29,19056,19
p30,15990,17
p31,21390,17
p32,26790,17
p33,19055,18
p34,15989,18
p35,21389,17
p36,26789,17
p37,19055,17
p38,15989,17
p39,21389,17
p40,26789,18
p41,7098,7
p42,9957,9
p43,12448,11
p44,7129,8
p45,9848,10
p46,12639,11
p47,6272,7
p48,9044,9
p49,12420,9
p50,9769,7
p51,10991,13
p52,10364,9
p53,12411,10
p54,9571,8
p55,11889,10
p56,23882,24
p57,32882,28
p58,53882,25
p59,39121,25
p60,23882,23
p61,32882,22
p62,53882,22
p63,39121,22
p64,23882,23
p65,32882,23
p66,53882,23
p67,39671,23
p68,23882,23
p69,32882,27
p70,53882,27
p71,39121,26
